"dia_do_ano","media_engajamento_por_dia_por_noticia_falsa"
304,23.226496
305,16.729231
306,15.328042
308,17.580786
309,0.063492
310,0.000000
311,0.000000
314,7.074380
315,0.000000
316,0.000000
317,0.000000
318,46.066667
319,0.000000
324,0.000000
325,0.000000
326,0.000000
327,0.000000
329,0.000000
302,27.692513
313,14.541237
321,0.000000
328,0.000000
300,25.714485
299,39.906593
301,51.305071
303,54.333333
307,7.138776
312,0.000000
323,0.000000
320,0.000000
322,0.000000
